PharmaKing,Pharmaceutical MNC manufacturing drugs for severe diseases such as cancer etc.
FastFoodie,Chain of Fast Food outlets covering home deliveries
SteelKing,Manufacturer and supplier of steel
Broadcaster,Television Media enterprise with focus on entertainment, news and movie production.
OILE,Oil Exploration company
TechnoTrak,Company with strong focus on latest technologies such as Artificial Intelligence, Machine Learning, Block Chains etc.
Medikare,Manufacturer and supplier of medicines and healthcare equipments.
HotelMotel,Hospitality giant having chain of Hotels and Motels
ShankBank,Private Sector Bank serving retail and commercial clients
CARMaker,Large Manufacturer of Petrol and Diesel Cars
APNABANK,Public Sector Bank
Supermart,Company with Chain of Departmental Stores
Flyhigh,Major International Airline